Code,species,Seed ID,Source code,Client,Project,Removed,Cleaned,Seedlot notes,100 sd wt (g),Seed per g,Available g,Stored g,Reserved g,100 sd wt (lb),Seed per lb,Available lb,Stored lb,Reserved lb,Available Sd,Stored Sd,Reserved Sd,Purity,Fill,Viability (TZ),Germ,Moisture,Est. PLS,Ecoregion,Prov. SZ,Tracking ID,date_collected,Site Name,Elevation,Latitude,Longitude,Forest/Park (near),Collection Notes,Last used date,Last action,Last used wt (g),Last used wt (lb),Last used project,FLAP,BSE
ACRU2,Actaea rubra,ACRU2-RST-Hillscrk-22-1,ACRU2-RST-3035/<2-G0-485-HILLSCRK-22-1,RST,Hills Creek,FALSE,TRUE,,0.55,181.82,0.94,0.94,0,0.001213,,0.002072,0.002072,0,171,170,0,,75,,,,128,,30-35/<2,,1-Jan-22,,485,,,Willamette,!imported; ,11/27/2024,strat/sow,-0.66,,Protocol development,FALSE,0
ADAL,Adiantum aleuticum,ADAL-RST-10-2021-1,ADAL-RST-10-30-35<2-G0-DGRC-RRS-21-1,RST,Unassigned - RST,FALSE,TRUE,,0.004,25000,0.03,0.03,0,0.000009,,0.000066,0.000066,0,750,750,0,,,,,,,,30-35/<2,,1-Jan-21,,,,,Rogue River Siskiyou,!imported; ,5/5/2024,import,-0.02,,,FALSE,0
ALAC4,Allium acuminatum,ALAC4-RST-HCRHSTE-22-1,ALAC4-RST-30-35/3-6-G0-0200-HCRHSTE-22-1,RST,HCRHST,FALSE,TRUE,,0.2,500,1.87,1.87,0,0.000441,,0.004123,0.004123,0,935,935,0,100,63,,,,589,,30-35/3-6,,1-Jan-22,,200,45.683648,-121.303269,Mt. Hood,!imported; ,5/5/2024,import,-3.86,,,FALSE,0
ALAM2,Allium amplectens,ALAM2-RST-HILLSCREEK-24,ALAM2-RST-3035/<2-G0-2945-HILLSCREEK-24,RST,Hills Creek,FALSE,TRUE,,0.17,588.24,3.037,3.037,0,0.000375,,0.006695,0.006695,0,1786,1786,0,99,95,,,31.8,1697,Cascades,30-35/<2,24-11,24-Jul-24,Hills creek,2945,43.846835,-122.747687,Willamette,,10/22/2024,add (store),3.037,,Hills Creek,FALSE,0
ALIN2,Alnus incana,FHWA-0111-26,ALIN2-01-675-01-100-48-SKYLINER-11,RST,Skyliner,FALSE,TRUE,,0.07,1428.57,1.91,1.91,0,0.000154,,0.004211,0.004211,0,2729,2728,0,86,70,,,,1910,,20-25/2-3,,1-Jan-11,,4800,,,Deschutes,!imported; ,5/5/2024,import,-0.36,,,FALSE,0
ALRU2,Alnus rubra,ALRU2-15-2016-1,ALRU2-RST-3035/<2-G0-COWCREEK-2016,RST,Cow Creek (RST),FALSE,TRUE,,0.07,1428.57,6.24,6.24,0,0.000154,,0.013757,0.013757,0,8914,8914,0,,,,,,,,30-35/<2,,1-Jan-16,,,,,Umpqua,!imported; ,5/5/2024,import,-0.4,,,FALSE,0
ALRU2,Alnus rubra,FHWA-0610-08,ALRU2-06-661-06-100-43-FHWA-HWY35-10,RST,HWY 35,FALSE,TRUE,,0.1,1000,3.04,3.04,0,0.00022,,0.006702,0.006702,0,3040,3040,0,84,45,,,,1368,,20-25/<2,,1-Jan-10,,4300,,,Mt. Hood,!imported; ,2010,add (store),3.04,,,FALSE,0
ALRU2,Alnus rubra,ALRU2-RST-HCRHST-2015-1,ALRU2-RST-3035<2-G0-HCRHST-15,RST,HCRHST,FALSE,TRUE,,0.04,2500,55.35,55.35,0,0.000088,,0.122026,0.122026,0,138375,138375,0,,8,,,,11070,,30-35/<2,,1-Jan-15,,200,,,Mt. Hood,!imported; ,5/5/2024,import,-1.8,,,FALSE,0
ALVIS,Alnus viridis ssp. sinuata,ALVIS-06-2013-1,ALVIS-RST-XX/XX-G0-MudCreekLoopMTHood-13,RST,Unassigned - RST,FALSE,TRUE,,0.03,3333.33,19.38,19.38,0,0.000066,,0.042726,0.042726,0,64600,64599,0,,,,,,,,,,1-Jan-13,,,,,Mt. Hood,!imported; ,5/5/2024,import,-0.22,,,FALSE,0
ANMA,Anaphalis margaritacea,ANMA-RST-MTHEBO-23,ANMA-RST-3035/<2-G0-3172-MTHEBO-23,RST,Mt. Hebo (RST),FALSE,TRUE,,0.006,16666.67,50.742,50.742,0,0.000013,,0.111867,0.111867,0,845700,845700,0,89,89,,,45.7,752673,Coast Range,30-35/<2,23-303,12-Oct-23,Mt. Hebo,3172,45.21334,-123.755244,,,10/16/2024,add (store),50.742,,Mt. Hebo (RST),FALSE,0
ANMA,Anaphalis margaritacea,ANMA-RST-HYAK-23,ANMA-RST-2530/<2-G0-2630-HYAK-23,RST,Hyak,FALSE,TRUE,,0.001,100000,1.612,1.612,0,0.000002,,0.003554,0.003554,0,161200,161200,0,95,99,,,,159588,North Cascades,25-30/<2,23-294,26-Aug-23,Mt. Hyak,2630,47.38984,-121.396766,,,10/9/2024,add (store),1.612,,Hyak,TRUE,0
ANMA,Anaphalis margaritacea,ANMA-RST-FLAP-23-1,ANMA-RST-2530/<2-G0-2523-FLAP-23-1,RST,FLAP WA,FALSE,TRUE,,0.004,25000,8.211,8.211,0,0.000009,,0.018102,0.018102,0,205275,205275,0,,38,,,,78004,,25-30/<2,,1-Jan-23,,2523,47.395593,-121.377273,,!imported; ,5/5/2024,import,0,,,TRUE,0
ANMA,Anaphalis margaritacea,ANMA-RST-MBS-23,ANMA-RST-2530/<2-G0-802-MBS-23,RST,MBS,FALSE,TRUE,,0.003,33333.33,4.612,4.612,0,0.000007,,0.010168,0.010168,0,153733,153733,0,94,93,,,40.3,142972,North Cascades,25-30/<2,23-282,1-Sep-23,,802,48.734876,-121.665725,Mt. Baker - Snoqualmie,,10/11/2024,add (store),4.612,,MBS,TRUE,0
ANMA,Anaphalis margaritacea,RST21-100,ANMA-RST-3035/<2-G0-20-FLORWA-21,RST,FLAP OR,FALSE,TRUE,,0.003,33333.33,0,23.13,23.13,0.000007,,0,0.050993,0.050993,0,770999,771000,,92,,,,0,,30-35/<2,,1-Jan-21,,2000,,,,!imported; ,2021,add (store),23.13,,,TRUE,0
APAN2,Apocynum androsaemifolium,APAN2-RST-MARYSPEAK-23,APAN2-RST-3035/<2-G0-4144-MARYSPEAK-23,RST,Mary's Peak,FALSE,TRUE,,0.01,10000,3.411,3.411,0,0.000022,,0.00752,0.00752,0,34110,34110,0,89,22,,,40.6,7504,Coast Range,30-35/<2,23-327,8-Nov-23,Mary's Peak,4144,44.50445,-123.552336,Siuslaw,,10/13/2024,add (store),3.411,,Mary's Peak,FALSE,0
AQFO,Aquilegia formosa,AQFO-RST-MARYSPK-23-1,AQFO-RST-3035/<2-G0-3500-MARYSPK-23-1,RST,Mary's Peak,FALSE,TRUE,,0.192,520.83,1.026,1.026,0,0.000423,,0.002262,0.002262,0,534,534,0,,98,,,,523,,30-35/<2,,1-Jan-23,,3500,44.509141,-123.559623,,!imported; ,2023,add (store),1.026,,,FALSE,0
ARCA2,Aralia californica,ARCA2-RST-SFMCKENZIE-2018-1,ARCA2-RST-3035<2-G0-SFMCKENZIE-1200-18,RST,SF McKenzie,FALSE,TRUE,,0.12,833.33,3.38,3.38,0,0.000265,,0.007452,0.007452,0,2817,2816,0,,85,,,,2394,,30-35/<2,,1-Jan-18,,1200,44.1628,-122.2718,Willamette,!imported; ,2018,add (store),3.38,,,FALSE,0
ARCA2,Aralia californica,ARCA2-RST-SFMKCENZIE-2016-01,ARCA2-RST-3035<2-G0-SFMCKENZIE-1200-16,RST,SF McKenzie,FALSE,TRUE,,0.17,588.24,43.87,43.87,0,0.000375,,0.096717,0.096717,0,25806,25806,0,,96,,,,24774,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-1.13,,,FALSE,0
ARCA2,Aralia californica,ARCA2-RST-SFMCKENZIE-16-2,ARCA2-RST-3035<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.19,526.32,2.36,2.36,0,0.000419,,0.005203,0.005203,0,1242,1242,0,,88,,,,1093,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,2016,add (store),2.36,,,FALSE,0
ARCA2,Aralia californica,ARCA2-18-2017-1,ARCA2-RST-3035<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,0.14,714.29,4.21,4.21,0,0.000309,,0.009281,0.009281,0,3007,3007,0,,,,,,,,30-35/<2,,1-Jan-17,,1200,44.1628,-122.2718,Willamette,!imported; ,2017,add (store),4.21,,,FALSE,0
ARME,Arbutus menziesii,ARME-15-21-1,ARME-15-3035<2-G0-2650-Sharpscrk-21-1,RST,Unassigned - RST,FALSE,TRUE,,0.13,769.23,0.999,1.09,0.091,0.000287,,0.002202,0.002403,0.000201,768,838,70,,40,,,,307,,30-35/<2,,1-Jan-21,,2650,,,,!imported; ,11/27/2024,strat/sow,-0.52,,Protocol development,FALSE,0
ARCTO3,Arctostaphylos,ARCTO3-RST-Hillscrk-21-1,ARCTO3-RST-3035/<2-G0-1500-Hillscreek-21,RST,Hills Creek,FALSE,TRUE,,2.84,35.21,18.24,18.24,0,0.006261,,0.040212,0.040212,0,642,642,0,,20,,,,128,,30-35/<2,,1-Jan-21,,1520,,,Willamette,!imported; ,5/5/2024,import,-0.03,,,FALSE,0
ARPA6,Arctostaphylos patula,ARPA6-RST-KLAMATHLAKE-18-1,ARPA6-RST-2025/3-6-G0-4000-KLAMATHLAKES-18,RST,Klamath Lake,FALSE,TRUE,,1.88,53.19,23.11,23.11,0,0.004145,,0.050949,0.050949,0,1229,1229,0,100,10,,,,123,,20-25/3-6,,1-Jan-18,,4000,,,,!imported; ,5/5/2024,import,-27.39,,,FALSE,0
ARPA6,Arctostaphylos patula,ARPA6-RST-KLAMATH-23,ARPA6-RST-2025/0306-G0-4345-KLAMATH-23,RST,Klamath HWY,FALSE,TRUE,"Some seeds fused together, difficult or impossible to separate without damaging",3.544,28.22,51.011,51.011,0,0.007813,,0.11246,0.11246,0,1440,1439,0,99,93,,,,1339,Eastern Cascades Slopes and Foothills,20-25/3-6,23-286,9-Aug-23,Spence mtn trailhead,4345,42.326187,-121.9496,,,1/14/2025,strat/sow,-2.3,,Klamath County,TRUE,0
ARPA6,Arctostaphylos patula,FHWA-0108-12,ARPA-01-681-01-100-50-08,RST,HWY 97,FALSE,TRUE,,2.02,49.5,421.43,421.43,0,0.004453,,0.929094,0.929094,0,20861,20860,0,,58,,,,12099,,,,1-Jan-08,,5000,,,Deschutes,!imported; ,11/27/2024,strat/sow,-13.9,,Protocol development,FALSE,0
ARPA6,Arctostaphylos patula,FHWA-0108-09,ARPA6-01-SO.CENTURY-50-08,RST,South Century,FALSE,TRUE,,2.78,35.97,475.38,475.38,0,0.006129,,1.048033,1.048033,0,17099,17099,0,98,65,,,,11114,,,,1-Jan-08,,5000,,,Deschutes,!imported; ,11/27/2024,strat/sow,-10.1,,Protocol development,FALSE,0
ASFA,Asclepias fascicularis,0115-14,ASFA-01-20-25/6-12-G1-CLARNONURS1308-15,RST,HCRHST,FALSE,TRUE,,0.48,208.33,204.31,204.31,0,0.001058,,0.450426,0.450426,0,42564,42563,0,,70,,,,29795,,20-25/6-12,,1-Jan-15,,200,,,Mt. Hood,!imported from SS; ,5/5/2024,import,-12.96,,,FALSE,0
ASFA,Asclepias fascicularis,RST-WFL15-02,ASFA-RST-WFL-G0-HCRHST-15,RST,HCRHST,FALSE,TRUE,,0.575,173.91,0.49,0.49,0,0.001268,,0.00108,0.00108,0,85,85,0,99,96,,,,82,,30-35/<2,,1-Jan-15,,200,,,,!imported; ,5/5/2024,import,-3.86,,,FALSE,0
ATFI,Athyrium filix-femina,ATEI-RST-RogueRverSiskyou-21-1,ATFI-RST-3035/<2-G0-4600-GraybackRRS-21,RST,Unassigned - RST,FALSE,TRUE,,0.004,25000,1.11,1.11,0,0.000009,,0.002447,0.002447,0,27750,27750,0,,,,,,,,30-35/<2,,1-Jan-21,,4600,,,Rogue River Siskiyou,!imported; ,2021,add (store),1.11,,,FALSE,0
BASA3,Balsamorhiza sagittata,RST21-48,BASA3-RST-3035/0306-G0-<10-HCRHST-E-21,RST,HCRHST,FALSE,TRUE,,0.74,135.14,36.9,36.9,0,0.001631,,0.081351,0.081351,0,4987,4986,0,99,65,,,,3242,,30-35/3-6,,1-Jan-21,,900,,,Mt. Hood,!imported; ,5/5/2024,import,-11.224,,,FALSE,0
BASA3,Balsamorhiza sagittata,RST21-06,BASA3-RST-2025/0306-G0-35-CERVIDAE-21,RST,Cervidae,FALSE,TRUE,'RST21-06; ,0.77,129.87,709.26,709.26,0,0.001698,,1.563651,1.563651,0,92112,92111,0,99,95,,,,87506,,20-25/3-6,,1-Jan-21,,3500,,,Boise,!imported; ,5/5/2024,import,-58,,,FALSE,0
BASA3,Balsamorhiza sagittata,RST19-05,BASA3-RST-2025/3-6-G0-44-KLAMATHLK-19,RST,Klamath Lake,FALSE,TRUE,,1.08,92.59,1019.76,1019.76,0,0.002381,,2.248186,2.248186,0,94420,94419,0,,94,,,,88755,,20-25/3-6,,1-Jan-19,,4400,42.23427,-121.798092,Fremont,!imported; ,2019,add (store),1019.76,,,FALSE,0
BASA3,Balsamorhiza sagittata,BASA3-RST-KLAMATHLK-18-1,BASA3-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,0.93,107.53,5.13,5.13,0,0.00205,,0.01131,0.01131,0,552,551,0,,67,,,,370,,20-25/3-6,,1-Jan-18,,4300,,,Fremont,!imported; ,2018,add (store),5.13,,,FALSE,0
BRCA5,Bromus carinatus,BRCA5-RST-HILLSCRK-23-1,BRCA5-RST-3035<2-G0-1484-HILLSCRK-23-1,RST,Hills Creek,FALSE,TRUE,,0.59,169.49,7.196,7.196,0,0.001301,,0.015864,0.015864,0,1220,1219,0,,4,,,,49,,30-35/<2,,1-Jan-23,,1484,43.714926,-122.723769,,!imported; ,2023,add (store),7.196,,,FALSE,0
BRSI,Bromus sitchensis,BRSI-RST-MBS-23,BRSI-RST-2530/<2-G0-3442-MBS-23,RST,MBS,FALSE,TRUE,,0.403,248.14,68.087,68.087,0,0.000888,,0.150106,0.150106,0,16895,16895,0,99,63,,,,10644,North Cascades,25-30/<2,23-324,2-Sep-23,MBS,3442,48.920378,-121.942655,Mt. Baker - Snoqualmie,,10/9/2024,add (store),68.087,,MBS,TRUE,0
CADE27,Calocedrus decurrens,CADE-15-xx-1,CADE-RST-3035/ 2-3-G0-TILLERTRAILREROUTE-XX,RST,Tiller ReRoute,FALSE,TRUE,,4.06,24.63,16,16,0,0.008951,,0.035274,0.035274,0,394,394,0,,83,,,,327,,30-35/2-3,,1-Jan-13,,,,,Umpqua,!imported; ,5/5/2024,import,-11.24,,,FALSE,0
CAAM10,Carex amplifolia,RST-WIL16-23,CAAM10-RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.08,1250,0,206.44,206.44,0.000176,,0,0.455122,0.455122,0,258050,258050,99,,,,,,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-14.613,,,FALSE,0
CAAQ,Carex aquatilis,RST-ODOT13-01,CAAQD-RST/ODOT-2025/<2-G0-HWY26-13,RST,HWY 26,FALSE,TRUE,,0.03,3333.33,0,59.91,59.91,0.000066,,0,0.132079,0.132079,0,199699,199700,99,99,,,,0,,20-25/<2,,1-Jan-13,,,,,,!imported; ,5/5/2024,import,-2.232,,,FALSE,0
CAAT3,Carex athrostachya,RST21-51,CAAT3-RST-3035/0306-G0-<10-HCRHSTE-21,RST,HCRHST,FALSE,TRUE,,0.04,2500,4.22,4.22,0,0.000088,,0.009304,0.009304,0,10550,10550,0,,91,,,,9600,,30-35/3-6,,1-Jan-21,,900,,,,!imported; ,2021,add (store),4.22,,,FALSE,0
CACA9,Carex californica,CACA9-RST-MARYSPEAK-2020-2,CACA9-RST-3035/<2-G0-4000-MARYSPEAK-20-2,RST,Mary's Peak,FALSE,TRUE,[appended source code CACA9-RST-3035/<2-G0-4000-MARYSPEAK-20 to make unique],0.34,294.12,18.11,18.11,0,0.00075,,0.039926,0.039926,0,5327,5326,0,100,54,,,,2877,,30-35/<2,,1-Jan-20,,4000,44.503657,-123.552784,Siuslaw,!imported; ,5/5/2024,import,-0.07,,,FALSE,0
CACA9,Carex californica,CACA9-RST-MARYSPEAK-2020-1,CACA9-RST-3035/<2-G0-4000-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.4,250,6.19,6.19,0,0.000882,,0.013647,0.013647,0,1548,1547,0,100,73,,,,1130,,30-35/<2,,1-Jan-20,,4000,44.503657,-123.552784,Siuslaw,!imported; ,5/5/2024,import,-0.02,,,FALSE,0
CACA9,Carex californica,CACA9-MARYSPEAK-19-1,CACA9-RST-3035/ <2- G0-3880-MARYSPEAK-19,RST,Mary's Peak,FALSE,TRUE,,0.38,263.16,14.78,14.78,0,0.000838,,0.032584,0.032584,0,3890,3889,0,,84,,,,3268,,30-35/<2,,1-Jan-19,,3800,,,Siuslaw,!imported; ,2019,add (store),14.78,,,FALSE,0
CACU5,Carex cusickii,RST-WIL16-02,CACU5-RST-FS-30-35/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.04,2500,0,34.59,34.59,0.000088,,0,0.076258,0.076258,0,86475,86475,,90,,,,0,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-16.394,,,FALSE,0
CAIL,Carex illota,fhwa-0609-20,cail-fhwa06-661-06-100-36/42-09,RST,Unassigned - RST,FALSE,TRUE,,0.02,5000,0,91.74,91.74,0.000044,,0,0.202252,0.202252,0,458700,458700,,92,,,,0,,,,1-Jan-09,,,,,Mt. Hood,!imported; ,2009,add (store),91.74,,,FALSE,0
CAIL,Carex illota,fhwa-0610-18,cail-fhwa06-661-06-100-34/42-hwy 35- 10,RST,HWY 35,FALSE,TRUE,,0.03,3333.33,0,84.09,84.09,0.000066,,0,0.185387,0.185387,0,280299,280300,97,93,,,,0,,20-25/<2,,1-Jan-10,,3500,,,Mt. Hood,!imported; ,2010,add (store),84.09,,,FALSE,0
CALE8,Carex lenticularis,FHWA-0610-09,CALE8-06-661-06-100-43-FHWA-HW35-10,RST,HWY 35,FALSE,TRUE,,0.04,2500,0,5.73,5.73,0.000088,,0,0.012632,0.012632,0,14325,14325,99,95,,,,0,,20-25/<2,,1-Jan-10,,4100,,,Mt. Hood,!imported; ,5/5/2024,import,-2.43,,,FALSE,0
CAOB3,Carex obnupta,CAOB3-RST-CAPEMEARES-22-1,CAOB3-RST-40-45<2-G0-0015-CAPEMEARES-22-1,RST,Cape Meares,FALSE,TRUE,,0.07,1428.57,51.12,51.12,0,0.000154,,0.1127,0.1127,0,73028,73028,0,,20,,,,14606,,40-45/<2,,1-Jan-22,,15,,,Cape Meares,!imported; ,2022,add (store),51.12,,,FALSE,0
CAOB3,Carex obnupta,CAOB3-RST-CAPEMEARES-22-2,CAOB3-RST-35-40<2-G0-0200-CAPEMEARES-22-2,RST,Cape Meares,FALSE,TRUE,,0.06,1666.67,23.61,23.61,0,0.000132,,0.052051,0.052051,0,39350,39350,0,99,2,,,,787,,35-40/<2,,1-Jan-22,,200,45.326973,-123.944783,Cape Meares,!imported; ,5/5/2024,import,-0.05,,,FALSE,0
CAOB3,Carex obnupta,RST-WIL16-04,CAOB3RST-3035/<2-G0-SFMCKENZIE-16,RST,SF McKenzie,FALSE,TRUE,,0.11,909.09,9.35,9.35,0,0.000243,,0.020613,0.020613,0,8500,8499,0,,,,,,,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-8.901,,,FALSE,0
CAST5,Carex stipata,RST-WFL13-12,CAST5-RST/WFL-2530/481000-G0-SUIATTLE-13,RST,Suiattle,FALSE,TRUE,,0.063,1587.3,0.55,0.55,0,0.000139,,0.001213,0.001213,0,873,873,0,99,98,,,,856,,25-30/<2,,1-Jan-13,,4800,,,,!imported; ,2013,add (store),0.55,,,FALSE,0
CAST5,Carex stipata,RST-WFL14-03,CAST5-RSTWFL-2530/48-100-G0-SUIATTLE-14,RST,Suiattle,FALSE,TRUE,,0.06,1666.67,7.82,7.82,0,0.000132,,0.01724,0.01724,0,13033,13033,0,98,98,,,,12772,,25-30/<2,,1-Jan-14,,,,,,!imported; ,5/5/2024,import,-2.43,,,FALSE,0
CAHI9,Castilleja hispida,CAHI9-RST-MARYSPK-23-1,CAHI-RST-3035/<2-G0-4028-MARYSPK-23-1,RST,Mary's Peak,FALSE,TRUE,,0.014,7142.86,1.581,1.581,0,0.000031,,0.003486,0.003486,0,11293,11292,0,,84,,,,9486,,30-35/<2,,1-Jan-23,,4028,44.503713,-123.55196,,!imported; ,2/25/2025,strat/sow,-0.232,,Mary's Peak,FALSE,0
CAPR14,Castilleja pruinosa,CAPR-06-2017-1,CAPR-RST-2025/<2-G0-HWY35-17,RST,HWY 35,FALSE,TRUE,,0.009,11111.11,0,0.61,0.61,0.00002,,0,0.001345,0.001345,0,6777,6778,50,50,,,,0,,20-25/<2,,1-Jan-17,,4100,,,Mt. Hood,!imported; ,5/5/2024,import,-0.02,,,FALSE,0
